UV_CACHE_DIR=.uv-cache uv run pytest tests/integration/cognition/test_persona_policy_quantitative.py -s --no-cov
============================= test session starts ==============================
platform darwin -- Python 3.12.13, pytest-8.4.2, pluggy-1.6.0
rootdir: /Users/cassia/Local/Code/iris_memory_core
configfile: pyproject.toml
plugins: cov-7.1.0, anyio-4.15.0
collected 2800 items

tests/integration/cognition/test_persona_policy_quantitative.py W03 locked/0: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/1: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/2: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/3: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/4: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/5: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/6: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/7: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/8: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/9: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/10: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/11: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/12: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/13: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/14: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/15: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/16: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/17: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/18: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/19: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/20: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/21: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/22: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/23: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/24: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/25: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/26: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/27: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/28: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/29: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/30: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/31: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/32: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/33: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/34: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/35: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/36: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/37: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/38: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/39: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/40: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/41: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/42: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/43: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/44: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/45: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/46: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/47: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/48: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/49: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/50: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/51: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/52: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/53: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/54: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/55: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/56: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/57: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/58: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/59: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/60: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/61: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/62: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/63: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/64: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/65: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/66: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/67: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/68: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/69: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/70: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/71: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/72: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/73: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/74: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/75: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/76: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/77: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/78: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/79: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/80: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/81: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/82: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/83: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/84: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/85: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/86: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/87: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/88: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/89: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/90: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/91: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/92: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/93: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/94: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/95: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/96: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/97: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/98: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/99: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/100: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/101: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/102: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/103: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/104: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/105: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/106: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/107: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/108: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/109: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/110: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/111: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/112: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/113: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/114: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/115: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/116: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/117: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/118: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/119: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/120: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/121: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/122: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/123: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/124: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/125: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/126: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/127: rejected by locked policy forbids Persona proposals; current unchanged
.W03 locked/128: rejected by locked policy forbids Persona proposals; current unchanged
